"","L2","z"
"2435",221.3834984,932
"2434",221.568518,932
"2433",221.7535376,932
"2432",222.0151948,932
"2431",222.2002144,932
"2430",222.4618716,932
"2429",222.6468913,932
"2428",222.8319109,932
"2427",223.0552493,932
"2426",223.3169065,932
"2425",223.5785637,932
"2424",223.7635833,931
"2423",224.0252406,931
"2422",224.248579,931
"2421",224.4719174,931
"2420",224.6952558,931
"2419",224.8802754,931
"2418",225.065295,931
"2417",225.2503146,931
"2416",225.4736531,931
"2415",225.6586727,931
"2414",225.8820111,931
"2413",226.1053495,931
"2412",226.3670067,931
"2411",226.5520263,931
"2410",226.8136836,931
"2409",227.037022,930
"2408",227.2603604,930
"2407",227.44538,930
"2406",227.7070373,930
"2405",227.8920569,930
"2404",228.1537141,930
"2403",228.3387337,930
"2402",228.5620721,930
"2401",228.7470917,930
"2400",228.9704301,930
"2399",229.1554497,930
"2398",229.3787882,930
"2397",229.6021266,930
"2396",229.825465,930
"2395",230.0104846,930
"2394",230.1955042,930
"2393",230.3805238,930
"2392",230.6038622,930
"2391",230.8655195,930
"2390",231.0888579,930
"2389",231.2738775,930
"2388",231.4972159,930
"2387",231.7588731,930
"2386",231.9822116,929
"2385",232.2438688,929
"2384",232.4288884,929
"2383",232.613908,929
"2382",232.7989276,929
"2381",232.9839472,929
"2380",233.2072856,929
"2379",233.430624,929
"2378",233.6156436,929
"2377",233.8006632,929
"2376",233.9856829,929
"2375",234.1707025,929
"2374",234.3940409,929
"2373",234.6173793,929
"2372",234.8407177,929
"2371",235.0257373,929
"2370",235.2107569,929
"2369",235.3957765,929
"2368",235.5807961,928
"2367",235.8041345,928
"2366",236.0657918,928
"2365",236.2891302,928
"2364",236.5124686,928
"2363",236.6974882,927
"2362",236.8825078,927
"2361",237.0675274,927
"2360",237.252547,927
"2359",237.4375666,927
"2358",237.6609051,927
"2357",237.8459247,927
"2356",238.0309443,927
"2355",238.2159639,927
"2354",238.4009835,927
"2353",238.5860031,927
"2352",238.7710227,927
"2351",238.9560423,927
"2350",239.1410619,927
"2349",239.4027191,927
"2348",239.5877387,927
"2347",239.8110771,927
"2346",240.0727344,927
"2345",240.3343916,927
"2344",240.55773,927
"2343",240.8193873,927
"2342",241.0810445,927
"2341",241.3043829,927
"2340",241.5660401,927
"2339",241.7893786,927
"2338",241.9743982,926
"2337",242.1594178,926
"2336",242.421075,926
"2335",242.6060946,926
"2334",242.7911142,926
"2333",243.0144526,926
"2332",243.1994722,925
"2331",243.4611295,925
"2330",243.7227867,925
"2329",243.9461251,925
"2328",244.2077824,925
"2327",244.4694396,925
"2326",244.7310968,925
"2325",244.9927541,925
"2324",245.2544113,925
"2323",245.5160685,925
"2322",245.7777258,925
"2321",245.9627454,925
"2320",246.147765,925
"2319",246.3711034,925
"2318",246.556123,925
"2317",246.8177802,925
"2316",247.0794375,925
"2315",247.3027759,925
"2314",247.5644331,925
"2313",247.8260903,925
"2312",248.0877476,925
"2311",248.311086,925
"2310",248.4961056,925
"2309",248.7577628,925
"2308",249.0194201,925
"2307",249.2044397,925
"2306",249.4660969,924
"2305",249.6894353,924
"2304",249.8744549,924
